149;Найробі;Кенія;Африка
150;Нассау;Багамські Острови;Північна Америка
151;Нгерулмуд;Палау;Океанія
152;Нджамена;Чад;Африка
153;Ніамей;Нігер;Африка
154;Нікосія;Кіпр;Азія
155;Нуакшот;Мавританія;Африка
156;Нукуалофа;Тонга;Океанія
157;Нумеа;Нова Каледонія (Франція);Океанія
158;Нуук;Гренландія (Данія);Північна Америка
159;Нью-Делі;Індія;Азія
160;Ораньєстад;Аруба (Нідерланди);Північна Америка
161;Осло;Норвегія;Європа
162;Оттава;Канада;Північна Америка
163;Паго-Паго;Американське Самоа (США);Океанія
164;Палікір;Федеративні Штати Мікронезії;Океанія
165;Панама;Панама;Північна Америка
166;Папеете;Французька Полінезія (Франція);Океанія
167;Парамарибо;Суринам;Південна Америка
168;Париж;Франція;Європа
169;Пекін;Китай;Азія
170;Південна Тарава;Кірибаті;Океанія
171;Плімут[6];Монтсеррат (Велика Британія);Північна Америка
172;Пномпень;Камбоджа;Азія
173;Подгориця;Чорногорія;Європа
174;Порт-Віла;Вануату;Океанія
175;Порт-Луї;Маврикій;Африка
176;Порт-Морсбі;Папуа Нова Гвінея;Океанія
177;Порто-Ново;Бенін;Африка
178;Порт-о-Пренс;Гаїті;Північна Америка
179;Порт-о-Франсе[7];Французькі Південні і Антарктичні Території (Франція);Африка
180;Порт-оф-Спейн;Тринідад і Тобаго;Північна Америка
181;Прага;Чехія;Європа
182;Прая;Кабо-Верде;Африка
183;Преторія[8];Південно-Африканська Республіка;Африка
184;Приштина;Косово[9];Європа
185;Пхеньян;Північна Корея;Азія
186;Рабат;Марокко;Африка
187;Рейк'явік;Ісландія;Європа
188;Рига;Латвія;Європа
189;Рим;Італія;Європа
190;Род-Таун;Британські Віргінські Острови (Велика Британія);Північна Америка
191;Розо;Домініка;Північна Америка
192;Сайпан;Північні Маріанські Острови (США);Океанія
193;Сана[10];Ємен;Азія
194;Сан-Марино;Сан-Марино;Європа
195;Сан-Сальвадор;Сальвадор;Північна Америка
196;Санто-Домінго;Домініканська Республіка;Північна Америка
197;Сан-Томе;Сан-Томе і Принсіпі;Африка
198;Сантьяго;Чилі;Південна Америка
199;Сан-Хосе;Коста-Рика;Північна Америка
200;Сан-Хуан;Пуерто-Рико (США);Північна Америка
201;Сараєво;Боснія і Герцеговина;Європа
202;Сен-П'єр;Сен-П'єр і Мікелон (Франція);Північна Америка
203;Сент-Гелієр;Джерсі (Велика Британія);Європа
204;Сент-Джонс;Антигуа і Барбуда;Північна Америка
205;Сент-Джорджес;Гренада;Північна Америка
206;Сент-Пітер-Порт;Гернсі (Велика Британія);Європа
207;Сеул;Південна Корея;Азія
208;Сінгапур;Сінгапур;Азія
209;Скоп'є;Північна Македонія;Європа
210;Софія;Болгарія;Європа
211;Стенлі;Фолклендські Острови (Велика Британія);Південна Америка
212;Стокгольм;Швеція;Європа
213;Сува;Фіджі;Океанія
214;Сукре;Болівія;Південна Америка
215;Тайбей;Тайвань[11];Азія
216;Таллінн;Естонія;Європа
217;Ташкент;Узбекистан;Азія
218;Тбілісі;Грузія;Азія
219;Тегеран;Іран;Азія
220;Тегусігальпа;Гондурас;Північна Америка
221;Тирана;Албанія;Європа
222;Токіо;Японія;Азія
223;Торсгавн;Фарерські Острови (Данія);Європа
224;Триполі;Лівія;Африка
225;Туніс;Туніс;Африка
226;Тхімпху;Бутан;Азія
227;Уагадугу;Буркіна-Фасо;Африка
228;Улан-Батор;Монголія;Азія
229;Філіпсбург;Сінт-Мартен (Нідерланди);Північна Америка
230;Флаїнг-Фіш-Коув;Острів Різдва (Австралія);Азія
231;Фрітаун;Сьєрра-Леоне;Африка
232;Фунафуті;Тувалу;Океанія
233;Хагатна;Гуам (США);Океанія
234;Ханой;В’єтнам;Азія
235;Хараре;Зімбабве;Африка
236;Хартум;Судан;Африка
237;Хоніара;Соломонові Острови;Океанія
238;Шарлотта-Амалія;Американські Віргінські Острови (США);Північна Америка
239;Шрі-Джаяварденепура-Котте;Шрі-Ланка;Азія
240;Ямусукро;Кот-д'Івуар;Африка
241;Ярен[12];Науру;Океанія
242;Яунде;Камерун;Африка
